source ID,target ID
G0050,T1082
G0050,T1016
G0050,T1049
G0050,T1033
G0050,T1070.006
G0050,T1588.002
G0050,T1608.001
G0050,T1059.005
G0050,T1071.001
G0050,T1102
G0050,T1583.006
G0050,T1505.003
G0050,T1059.003
G0050,T1047
G0050,T1543.003
G0064,T1560.001
G0064,T1003.005
G0064,T1078.004
G0064,T1552.001
G0064,T1555
G0064,T1555.003
G0064,T1048.003
G0064,T1203
G0064,T1068
G0064,T1552.006
G0064,T1105
G0064,T1003.004
G0064,T1003.001
G0064,T1204.002
G0064,T1204.001
G0064,T1040
G0064,T1571
G0064,T1027
G0064,T1110.003
G0064,T1059.001
G0064,T1547.001
G0064,T1053.005
G0064,T1566.001
G0064,T1566.002
G0064,T1132.001
G0064,T1573.001
G0064,T1588.002
G0064,T1078
G0064,T1059.005
G0064,T1071.001
G0064,T1546.003
G0067,T1123
G0067,T1102.002
G0067,T1548.002
G0067,T1059
G0067,T1555.003
G0067,T1005
G0067,T1561.002
G0067,T1189
G0067,T1559.002
G0067,T1203
G0067,T1105
G0067,T1036.001
G0067,T1204.002
G0067,T1106
G0067,T1027
G0067,T1120
G0067,T1057
G0067,T1055
G0067,T1059.006
G0067,T1547.001
G0067,T1053.005
G0067,T1566.001
G0067,T1027.003
G0067,T1082
G0067,T1033
G0067,T1529
G0067,T1059.005
G0067,T1071.001
G0067,T1059.003
G0082,T1217
G0082,T1110
G0082,T1070.001
G0082,T1115
G0082,T1053.003
G0082,T1485
G0082,T1486
G0082,T1005
G0082,T1562.004
G0082,T1561.002
G0082,T1189
G0082,T1070.004
G0082,T1083
G0082,T1562.003
G0082,T1105
G0082,T1056.001
G0082,T1204.002
G0082,T1112
G0082,T1106
G0082,T1135
G0082,T1059.001
G0082,T1057
G0082,T1218.011
G0082,T1565.003
G0082,T1053.005
G0082,T1518.001
G0082,T1569.002
G0082,T1027.002
G0082,T1566.001
G0082,T1565.001
G0082,T1082
G0082,T1049
G0082,T1033
G0082,T1529
G0082,T1070.006
G0082,T1588.002
G0082,T1565.002
G0082,T1059.005
G0082,T1071.001
G0082,T1505.003
G0082,T1059.003
G0082,T1543.003
G0087,T1546.010
G0087,T1560.001
G0087,T1197
G0087,T1102.002
G0087,T1110
G0087,T1115
G0087,T1553.006
G0087,T1059
G0087,T1555
G0087,T1071.004
G0087,T1005
G0087,T1140
G0087,T1041
G0087,T1190
G0087,T1090.002
G0087,T1070.004
G0087,T1083
G0087,T1105
G0087,T1056
G0087,T1090.001
G0087,T1056.001
G0087,T1003.001
G0087,T1136.001
G0087,T1074.001
G0087,T1204.002
G0087,T1204.001
G0087,T1036.005
G0087,T1046
G0087,T1135
G0087,T1003
G0087,T1027
G0087,T1059.001
G0087,T1059.006
G0087,T1012
G0087,T1547.001
G0087,T1021.001
G0087,T1018
G0087,T1021.002
G0087,T1021.004
G0087,T1053.005
G0087,T1113
G0087,T1569.002
G0087,T1547.009
G0087,T1027.002
G0087,T1566.001
G0087,T1566.002
G0087,T1033
G0087,T1588.002
G0087,T1078
G0087,T1059.005
G0087,T1071.001
G0087,T1505.003
G0096,T1546.008
G0096,T1560.001
G0096,T1197
G0096,T1542.003
G0096,T1070.003
G0096,T1070.001
G0096,T1553.002
G0096,T1218.001
G0096,T1195.002
G0096,T1574.001
G0096,T1574.002
G0096,T1071.004
G0096,T1486
G0096,T1005
G0096,T1102.001
G0096,T1568.002
G0096,T1574.006
G0096,T1480.001
G0096,T1190
G0096,T1203
G0096,T1133
G0096,T1008
